danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
0.235,0.354,2.0,-8.213,1.0,0.0323,0.105,0.0603,0.366,0.157,139.92,audio_features,7c1uv7x78rcKleioTG2qEN,spotify:track:7c1uv7x78rcKleioTG2qEN,https://api.spotify.com/v1/tracks/7c1uv7x78rcKleioTG2qEN,https://api.spotify.com/v1/audio-analysis/7c1uv7x78rcKleioTG2qEN,199687.0,3.0,
0.287,0.176,0.0,-17.169,0.0,0.0331,0.751,0.347,0.0747,0.117,144.849,audio_features,5p3LHtGSYgfOBQt71nv6iv,spotify:track:5p3LHtGSYgfOBQt71nv6iv,https://api.spotify.com/v1/tracks/5p3LHtGSYgfOBQt71nv6iv,https://api.spotify.com/v1/audio-analysis/5p3LHtGSYgfOBQt71nv6iv,254203.0,3.0,
0.435,0.61,6.0,-13.171,1.0,0.04,0.372,0.00953,0.212,0.44,82.441,audio_features,6AlmxD8AKrBHsnDa9JJwnQ,spotify:track:6AlmxD8AKrBHsnDa9JJwnQ,https://api.spotify.com/v1/tracks/6AlmxD8AKrBHsnDa9JJwnQ,https://api.spotify.com/v1/audio-analysis/6AlmxD8AKrBHsnDa9JJwnQ,158858.0,4.0,
0.325,0.528,3.0,-6.415,1.0,0.0289,0.421,0.000247,0.0995,0.0705,140.208,audio_features,0IWHXMdHyQ8Y2m0r0LWKAI,spotify:track:0IWHXMdHyQ8Y2m0r0LWKAI,https://api.spotify.com/v1/tracks/0IWHXMdHyQ8Y2m0r0LWKAI,https://api.spotify.com/v1/audio-analysis/0IWHXMdHyQ8Y2m0r0LWKAI,126375.0,4.0,
0.715,0.332,1.0,-10.84,1.0,0.0804,0.824,0.000325,0.0953,0.534,71.771,audio_features,3p0kes1amIxF9ucjtclpYm,spotify:track:3p0kes1amIxF9ucjtclpYm,https://api.spotify.com/v1/tracks/3p0kes1amIxF9ucjtclpYm,https://api.spotify.com/v1/audio-analysis/3p0kes1amIxF9ucjtclpYm,147000.0,4.0,
0.416,0.485,1.0,-9.214,0.0,0.0369,0.79,0.000404,0.149,0.247,83.357,audio_features,2E1rruhDIZVzOlH4XCSLUk,spotify:track:2E1rruhDIZVzOlH4XCSLUk,https://api.spotify.com/v1/tracks/2E1rruhDIZVzOlH4XCSLUk,https://api.spotify.com/v1/audio-analysis/2E1rruhDIZVzOlH4XCSLUk,257759.0,4.0,
0.559,0.527,11.0,-8.808,1.0,0.032,0.778,1.83e-05,0.109,0.607,127.769,audio_features,0eOhrSbwPp4H5XHsBZmkXZ,spotify:track:0eOhrSbwPp4H5XHsBZmkXZ,https://api.spotify.com/v1/tracks/0eOhrSbwPp4H5XHsBZmkXZ,https://api.spotify.com/v1/audio-analysis/0eOhrSbwPp4H5XHsBZmkXZ,261419.0,4.0,
0.741,0.594,2.0,-11.768,1.0,0.0315,0.59,0.0038,0.488,0.962,129.149,audio_features,7q36ir1H8iyfVMz24CfAsn,spotify:track:7q36ir1H8iyfVMz24CfAsn,https://api.spotify.com/v1/tracks/7q36ir1H8iyfVMz24CfAsn,https://api.spotify.com/v1/audio-analysis/7q36ir1H8iyfVMz24CfAsn,228242.0,4.0,
0.645,0.439,3.0,-10.696,1.0,0.0328,0.653,0.000222,0.322,0.678,117.929,audio_features,0IhUsb5ODvUhzfpP1Fq8re,spotify:track:0IhUsb5ODvUhzfpP1Fq8re,https://api.spotify.com/v1/tracks/0IhUsb5ODvUhzfpP1Fq8re,https://api.spotify.com/v1/audio-analysis/0IhUsb5ODvUhzfpP1Fq8re,339135.0,4.0,
0.641,0.481,1.0,-10.821,1.0,0.0402,0.574,0.00232,0.619,0.426,120.037,audio_features,2Z9SOAP4FbNgbW1Pxlql0v,spotify:track:2Z9SOAP4FbNgbW1Pxlql0v,https://api.spotify.com/v1/tracks/2Z9SOAP4FbNgbW1Pxlql0v,https://api.spotify.com/v1/audio-analysis/2Z9SOAP4FbNgbW1Pxlql0v,276539.0,4.0,
0.419,0.395,1.0,-7.8,1.0,0.0453,0.0829,0.144,0.181,0.41,184.18,audio_features,5Q2RZInaPy8Nj6hEtLxQWY,spotify:track:5Q2RZInaPy8Nj6hEtLxQWY,https://api.spotify.com/v1/tracks/5Q2RZInaPy8Nj6hEtLxQWY,https://api.spotify.com/v1/audio-analysis/5Q2RZInaPy8Nj6hEtLxQWY,229654.0,3.0,
0.656,0.396,10.0,-8.632,1.0,0.0429,0.649,4.7e-05,0.347,0.679,120.63,audio_features,2KtFjAvotApLludnNkaH70,spotify:track:2KtFjAvotApLludnNkaH70,https://api.spotify.com/v1/tracks/2KtFjAvotApLludnNkaH70,https://api.spotify.com/v1/audio-analysis/2KtFjAvotApLludnNkaH70,209016.0,4.0,
0.477,0.214,2.0,-14.7,1.0,0.0327,0.716,0.741,0.12,0.3,63.017,audio_features,2xQxriH5j5OnCpjOpumFo7,spotify:track:2xQxriH5j5OnCpjOpumFo7,https://api.spotify.com/v1/tracks/2xQxriH5j5OnCpjOpumFo7,https://api.spotify.com/v1/audio-analysis/2xQxriH5j5OnCpjOpumFo7,178999.0,4.0,
