name,id,artist_popularity,artist_genre,artist_track,likable
Bob Dylan,74ASZWbe4lXaubB36ztrGX,76,"['classic rock', 'country rock', 'folk', 'folk rock', 'indie r&b', 'rock', 'roots rock', 'singer-songwriter']",74ASZWbe4lXaubB36ztrGX,1
Nappy Roots,3tCxM1rTj2qUXsiQZxvt2I,58,"['dirty south rap', 'gangster rap', 'pop rap', 'southern hip hop']",3tCxM1rTj2qUXsiQZxvt2I,1
OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,86,"['dance pop', 'piano rock', 'pop', 'pop rock']",5Pwc4xIPtQLFEnJriah9YJ,1
Sir Woman,3H03S3ZtyYLdzsk6EYndUL,47,"['austindie', 'pop soul']",3H03S3ZtyYLdzsk6EYndUL,1
Whitney,32aUoW94mJ7xTJI7fG0V1G,59,"['chicago indie', 'indie folk', 'indie pop', 'indie rock', 'stomp and holler']",32aUoW94mJ7xTJI7fG0V1G,1
Wilderado,1Tp7C6LzxZe9Mix6rn4zbI,59,"['deep new americana', 'indie folk', 'modern rock', 'stomp and holler']",1Tp7C6LzxZe9Mix6rn4zbI,1
Wilderado,1Tp7C6LzxZe9Mix6rn4zbI,59,"['deep new americana', 'indie folk', 'modern rock', 'stomp and holler']",1Tp7C6LzxZe9Mix6rn4zbI,1
Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,71,"['baroque pop', 'indie rock', 'modern rock']",5BvJzeQpmsdsFp4HGUYUEx,1
Wilderado,1Tp7C6LzxZe9Mix6rn4zbI,59,"['deep new americana', 'indie folk', 'modern rock', 'stomp and holler']",1Tp7C6LzxZe9Mix6rn4zbI,1
Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,76,"['modern folk rock', 'modern rock', 'pop rock', 'stomp and holler', 'uk americana']",3gd8FJtBJtkRxdfbTu19U2,1
Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,83,"['bedroom pop', 'pop']",7pbDxGE6nQSZVfiFdq9lOL,1
Angels & Airwaves,7xklw3WodFZiNNmQt3DIgp,62,"['pop punk', 'socal pop punk']",7xklw3WodFZiNNmQt3DIgp,1
The Kills,5BYuBzqmTXwUDw2rYkwExr,56,"['alternative dance', 'alternative rock', 'dance-punk', 'garage rock', 'garage rock revival', 'indie rock', 'modern blues rock', 'modern rock', 'new rave', 'rock']",5BYuBzqmTXwUDw2rYkwExr,1
Chucky Chee$e,23eFlM8kwXhe8BgOCS4MHt,29,[],23eFlM8kwXhe8BgOCS4MHt,1
Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,60,"['alternative rock', 'anti-folk', 'chamber pop', 'elephant 6', 'indie pop', 'indie rock', 'lo-fi', 'modern rock']",2ooIqOf4X2uz4mMptXCtie,1
The Oh Hellos,3Fe3pszR2t4TOBVz41B1WR,65,"['folk-pop', 'indie folk', 'indie pop', 'indiecoustica', 'san marcos tx indie', 'shimmer pop', 'stomp and holler']",3Fe3pszR2t4TOBVz41B1WR,1
The Decemberists,7ITd48RbLVpUfheE7B86o2,60,"['alternative rock', 'anti-folk', 'baroque pop', 'canadian indie', 'chamber pop', 'indie folk', 'indie pop', 'indie rock', 'modern folk rock', 'modern rock', 'pop rock', 'stomp and holler']",7ITd48RbLVpUfheE7B86o2,1
