danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.707,0.725,9,-7.086,0,0.25,0.293,5.87e-05,0.04,0.762,82.938,audio_features,3ee7dvxhs02GNrhSqGmI4a,spotify:track:3ee7dvxhs02GNrhSqGmI4a,https://api.spotify.com/v1/tracks/3ee7dvxhs02GNrhSqGmI4a,https://api.spotify.com/v1/audio-analysis/3ee7dvxhs02GNrhSqGmI4a,204093,4
0.513,0.714,0,-5.226,1,0.0332,0.00447,9.3e-06,0.106,0.404,117.013,audio_features,6Dlm9jIC29nIsM2b0XYsuF,spotify:track:6Dlm9jIC29nIsM2b0XYsuF,https://api.spotify.com/v1/tracks/6Dlm9jIC29nIsM2b0XYsuF,https://api.spotify.com/v1/audio-analysis/6Dlm9jIC29nIsM2b0XYsuF,178640,4
0.314,0.414,4,-11.629,0,0.0511,0.518,0.00183,0.1,0.283,80.067,audio_features,6adOQmuwRIxdhhUrvQVhBD,spotify:track:6adOQmuwRIxdhhUrvQVhBD,https://api.spotify.com/v1/tracks/6adOQmuwRIxdhhUrvQVhBD,https://api.spotify.com/v1/audio-analysis/6adOQmuwRIxdhhUrvQVhBD,257960,3
0.251,0.301,5,-11.089,1,0.0356,0.995,0.122,0.102,0.209,141.078,audio_features,4eSrP6H1xW9Vs4Ru282gb6,spotify:track:4eSrP6H1xW9Vs4Ru282gb6,https://api.spotify.com/v1/tracks/4eSrP6H1xW9Vs4Ru282gb6,https://api.spotify.com/v1/audio-analysis/4eSrP6H1xW9Vs4Ru282gb6,215533,4
0.633,0.238,5,-12.44,1,0.0364,0.694,1.41e-05,0.106,0.474,108.956,audio_features,54HSw1PF0ZWP9ITBBo68F1,spotify:track:54HSw1PF0ZWP9ITBBo68F1,https://api.spotify.com/v1/tracks/54HSw1PF0ZWP9ITBBo68F1,https://api.spotify.com/v1/audio-analysis/54HSw1PF0ZWP9ITBBo68F1,267268,4
0.703,0.378,4,-8.228,1,0.143,0.618,0.0,0.127,0.648,117.495,audio_features,0EY1CS35nYnmby4nuiKxOx,spotify:track:0EY1CS35nYnmby4nuiKxOx,https://api.spotify.com/v1/tracks/0EY1CS35nYnmby4nuiKxOx,https://api.spotify.com/v1/audio-analysis/0EY1CS35nYnmby4nuiKxOx,163320,4
0.383,0.915,11,-3.247,0,0.0655,0.122,0.000466,0.0536,0.771,183.665,audio_features,65NN3wiQvdIG1UC04Lgi5F,spotify:track:65NN3wiQvdIG1UC04Lgi5F,https://api.spotify.com/v1/tracks/65NN3wiQvdIG1UC04Lgi5F,https://api.spotify.com/v1/audio-analysis/65NN3wiQvdIG1UC04Lgi5F,182693,4
0.572,0.709,2,-5.081,1,0.0483,0.903,0.00962,0.106,0.785,122.401,audio_features,2RkUFQwcm9B2VC7zbNufs4,spotify:track:2RkUFQwcm9B2VC7zbNufs4,https://api.spotify.com/v1/tracks/2RkUFQwcm9B2VC7zbNufs4,https://api.spotify.com/v1/audio-analysis/2RkUFQwcm9B2VC7zbNufs4,174040,4
0.54,0.398,9,-7.637,0,0.0358,0.5,0.0,0.148,0.246,109.608,audio_features,1UV9SgZuMXau9iAj9e2ZTt,spotify:track:1UV9SgZuMXau9iAj9e2ZTt,https://api.spotify.com/v1/tracks/1UV9SgZuMXau9iAj9e2ZTt,https://api.spotify.com/v1/audio-analysis/1UV9SgZuMXau9iAj9e2ZTt,143467,4
0.578,0.579,9,-2.951,0,0.141,0.855,0.0,0.201,0.599,78.544,audio_features,74giZwNMPKn0r537TEHHXj,spotify:track:74giZwNMPKn0r537TEHHXj,https://api.spotify.com/v1/tracks/74giZwNMPKn0r537TEHHXj,https://api.spotify.com/v1/audio-analysis/74giZwNMPKn0r537TEHHXj,113493,4
0.495,0.263,3,-9.079,1,0.0622,0.297,0.0,0.153,0.373,167.185,audio_features,1fWleIkKGq6QVJy4d3gYSJ,spotify:track:1fWleIkKGq6QVJy4d3gYSJ,https://api.spotify.com/v1/tracks/1fWleIkKGq6QVJy4d3gYSJ,https://api.spotify.com/v1/audio-analysis/1fWleIkKGq6QVJy4d3gYSJ,216920,3
0.341,0.437,4,-9.588,1,0.0324,0.748,0.657,0.245,0.392,141.926,audio_features,2vveGFWptSqPsWf6R3iEIu,spotify:track:2vveGFWptSqPsWf6R3iEIu,https://api.spotify.com/v1/tracks/2vveGFWptSqPsWf6R3iEIu,https://api.spotify.com/v1/audio-analysis/2vveGFWptSqPsWf6R3iEIu,254093,3
0.602,0.93,0,-6.815,1,0.0435,0.0106,0.793,0.4,0.893,94.994,audio_features,5sfEXlsBw2neAiq6j7jUPf,spotify:track:5sfEXlsBw2neAiq6j7jUPf,https://api.spotify.com/v1/tracks/5sfEXlsBw2neAiq6j7jUPf,https://api.spotify.com/v1/audio-analysis/5sfEXlsBw2neAiq6j7jUPf,170432,4
0.283,0.208,11,-12.114,1,0.0776,0.899,0.0,0.121,0.109,80.45,audio_features,5BDWn90YC8UkZ3IeH9h6um,spotify:track:5BDWn90YC8UkZ3IeH9h6um,https://api.spotify.com/v1/tracks/5BDWn90YC8UkZ3IeH9h6um,https://api.spotify.com/v1/audio-analysis/5BDWn90YC8UkZ3IeH9h6um,190733,4
0.506,0.276,0,-14.013,1,0.112,0.679,0.00252,0.152,0.361,68.692,audio_features,3OMkRza7JZJs7n6GrjkvM3,spotify:track:3OMkRza7JZJs7n6GrjkvM3,https://api.spotify.com/v1/tracks/3OMkRza7JZJs7n6GrjkvM3,https://api.spotify.com/v1/audio-analysis/3OMkRza7JZJs7n6GrjkvM3,262240,4
0.665,0.497,8,-7.213,1,0.339,0.578,0.0107,0.256,0.422,135.367,audio_features,7lM7Q9bRFkpatClGbbhcQE,spotify:track:7lM7Q9bRFkpatClGbbhcQE,https://api.spotify.com/v1/tracks/7lM7Q9bRFkpatClGbbhcQE,https://api.spotify.com/v1/audio-analysis/7lM7Q9bRFkpatClGbbhcQE,219776,4
0.645,0.807,1,-5.102,1,0.118,0.282,0.0008,0.831,0.469,132.751,audio_features,5NcUKqx1haHyq49gTlVJ7i,spotify:track:5NcUKqx1haHyq49gTlVJ7i,https://api.spotify.com/v1/tracks/5NcUKqx1haHyq49gTlVJ7i,https://api.spotify.com/v1/audio-analysis/5NcUKqx1haHyq49gTlVJ7i,154667,4
0.222,0.537,4,-7.265,0,0.0454,0.315,0.00637,0.34,0.219,188.67,audio_features,5BtuUhw2OvH0vfAnVHa981,spotify:track:5BtuUhw2OvH0vfAnVHa981,https://api.spotify.com/v1/tracks/5BtuUhw2OvH0vfAnVHa981,https://api.spotify.com/v1/audio-analysis/5BtuUhw2OvH0vfAnVHa981,241987,4
0.554,0.303,1,-11.032,1,0.0257,0.857,8.45e-05,0.188,0.409,84.977,audio_features,53qSy1aH1QSXyO2zXx4zO8,spotify:track:53qSy1aH1QSXyO2zXx4zO8,https://api.spotify.com/v1/tracks/53qSy1aH1QSXyO2zXx4zO8,https://api.spotify.com/v1/audio-analysis/53qSy1aH1QSXyO2zXx4zO8,194293,4
0.44,0.787,8,-12.202,0,0.0512,0.242,4.11e-05,0.106,0.837,131.203,audio_features,6TaQMnZ8MT7iF7DLmjFyE8,spotify:track:6TaQMnZ8MT7iF7DLmjFyE8,https://api.spotify.com/v1/tracks/6TaQMnZ8MT7iF7DLmjFyE8,https://api.spotify.com/v1/audio-analysis/6TaQMnZ8MT7iF7DLmjFyE8,274013,4
